run_id,run_path,generation,arm,seed,M1_acc_seen,M1_acc_unseen,M1_gap,M2_cv,M2_dead,M2_cv_multitask_only,M3_align,M3_purity,M3_align_1step,M3_align_best_s,M3_closed_map_error,M3_closed_map_coverage,M3_closed_map_error_matched,M4_routing_acc_seen,M4_routing_acc_unseen,M5_entropy,M5_dead,M6_soft_hard_gap,M7_drift_step1,M7_acc_teacher_forced,M7_recovery,acc_singleton,acc_ablate_all,params_composer,params_atoms_total,params_encoder,params_decoder,composer_over_atoms
A0_0_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A0_0_s1234_b017073,v2,A0,0,1.0,1.0,0.0,0.11463007278396863,1,0.11463007278396863,1.0,1.0,1.0,1.0,0.002559235517765046,8,0.002559235517765046,1.0,1.0,1.0,1,0.0,0.003080555982887745,1.0,0.0,1.0,0.0625,29376,2103552,51136,50762,0.013964950711938665
A0_0_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A0_0_s5678_b017073,v2,A0,0,1.0,1.0,0.0,0.1145407697412528,1,0.1145407697412528,1.0,1.0,1.0,1.0,0.010576862681773491,8,0.010576862681773491,1.0,1.0,1.0,1,0.0,0.011561284475028516,1.0,0.0,1.0,0.0625,29376,2103552,51136,50762,0.013964950711938665
A0_0_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A0_0_s9012_b017073,v2,A0,0,1.0,1.0,0.0,0.11454065099471734,1,0.11454065099471734,1.0,1.0,1.0,1.0,0.003850427965517156,8,0.003850427965517156,1.0,1.0,1.0,1,0.0,0.00481928177177906,1.0,0.0,1.0,0.0625,29376,2103552,51136,50762,0.013964950711938665
A0_1_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A0_1_s1234_b017073,v2,A0,1,1.0,1.0,0.0,0.11463007278396863,1,0.11463007278396863,1.0,1.0,1.0,1.0,0.002461923042574199,8,0.002461923042574199,1.0,1.0,1.0,1,0.0,0.0030218842175478732,1.0,0.0,1.0,0.0625,29376,2103552,51136,50762,0.013964950711938665
A0_1_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A0_1_s5678_b017073,v2,A0,1,1.0,1.0,0.0,0.1145407697412528,1,0.1145407697412528,1.0,1.0,1.0,1.0,0.004110873589524999,8,0.004110873589524999,1.0,1.0,1.0,1,0.0,0.004708268148824573,1.0,0.0,1.0,0.0625,29376,2103552,51136,50762,0.013964950711938665
A0_1_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A0_1_s9012_b017073,v2,A0,1,1.0,0.9998958333333333,0.00010416666666668295,0.11462975292567665,1,0.11462975292567665,1.0,1.0,1.0,1.0,0.0024392798623011913,8,0.0024392798623011913,1.0,1.0,1.0,1,0.0,0.0032262635541458924,0.9998958333333334,0.0,1.0,0.0625,29376,2103552,51136,50762,0.013964950711938665
A0_2_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A0_2_s1234_b017073,v2,A0,2,1.0,1.0,0.0,0.11463007278396863,1,0.11463007278396863,1.0,1.0,1.0,1.0,0.002911183872129186,8,0.002911183872129186,1.0,1.0,1.0,1,0.0,0.0036674368443588416,1.0,0.0,1.0,0.0625,29376,2103552,51136,50762,0.013964950711938665
A0_2_s5678_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A0_2_s5678_b017073,v2,A0,2,1.0,1.0,0.0,0.1145407697412528,1,0.1145407697412528,0.9993750005960464,0.9993750005960464,0.9993750005960464,0.9993750005960464,0.0014667070454379427,8,0.0014667070454379427,1.0,1.0,1.0,1,0.0,0.001667742921660344,1.0,0.0,1.0,0.0625,29376,2103552,51136,50762,0.013964950711938665
A0_2_s9012_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A0_2_s9012_b017073,v2,A0,2,1.0,1.0,0.0,0.11454065099471734,1,0.11454065099471734,1.0,1.0,1.0,1.0,0.0024432923692074837,8,0.0024432923692074837,1.0,1.0,1.0,1,0.0,0.0031438012327998873,1.0,0.0,1.0,0.0625,29376,2103552,51136,50762,0.013964950711938665
A1_0_s1234_b017073,C:\Users\donal\Documents\Atom-Experiment\runs\v2\A1_0_s1234_b017073,v2,A1,0,0.7415625,0.00010416666666666667,0.7414583333333333,0.851768554716918,0,0.9734497768193349,0.3156250028987415,0.29343750356929377,0.12062499998137355,0.8796875048428774,1.1272819191217422,1,1.6217618584632874,0.41228125,0.49807291666666664,0.9414324857936548,0,0.0,1.6329204591115316,0.11989583333333335,0.11979166666666669,0.925,0.0116796875,29376,2103552,51136,50762,0.013964950711938665
